"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
Rules of Participation,RoP,,The standards and conduct required of EOSC participants. EOSC participants agree to adhere to the RoP.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,,FdJ: alternative term+definition is preferred; but chheck against Federation Ahndbook is needed,RulesOfParticipation,Rules of Participation,RoP,policy,The standards and conduct required of EOSC participants. EOSC participants agree to adhere to the RoP.,,,,eoscG2020:RulesOfParticipation
scientific knowledge graph,SKG,,"knowledge graph that represents the entities, artifacts, and relationships involved in a scientific workflow; structured to support traceability, reproducibility, and machine-actionable discovery across the research process.","Horizon Europe EOSC Work Programme, topic HORIZON-INFRA-2023-EOSC-01-03: ""Planning, tracking, and assessing scientific knowledge production"" ; OSTrails project","Ferguson, C. et al. (2021). Connected Research: The Potential of the PID Graph. https://www.sciencedirect.com/science/article/pii/S2666389920302440",2016-06-30,,,,,,"FdJ: term inserted by Daan; alignment with ISO principles to be discussed; Comment Daan: consider merging Scientific and Scholarly Knowledge Graph, it is used imprecise interchangingly, note that the commission uses ""Scientific"", and ""Scholarly"" is pushed by the libraries",ScientificKnowledgeGraph,scientific knowledge graph,SKG,knowledge graph,,"Scope extends beyond bibliographic metadata to include entities involved in the research workflow itself: datasets, software, instruments, services, and their provenance — in addition to research product publication metadata. ",,,
scholarly knowledge graph,SKG,,"knowledge graph in which nodes represent scholarly entities — publications, researchers, organizations, and venues; edges represent scholarly relations such as authorship, citation, and affiliation, supporting machine-actionable retrieval, comparison, and analysis of academic literature and its metadata","ORKG — TIB Leibniz Information Centre for Science and Technology & L3S Research Center, Leibniz University Hannover (Jaradeh, Auer, Stocker, D'Souza et al.); also NFDI4DataScience (NFDI4DS) consortium","Vahdati, S., Arndt, N., Auer, S., Lehmann, J. (2018). Unveiling Scholarly Communities over Knowledge Graphs. TPDL 2018. arXiv:1807.06816.
Karras, O. et al. (2022). A Scholarly Knowledge Graph-Powered Dashboard: Implementation and User Evaluation. Frontiers in Research Metrics and Analytics. https://doi.org/10.3389/frma.2022.934930",2026-07-16,,,,,,"FdJ: term inserted by Daan; alignment with ISO principles to be discussed; @Daan: consider merging Scientific and Scholarly Knowledge Graph, it is used imprecise interchangingly, note that the commission uses ""Scientific"", and ""Scholarly"" is pushed by the libraries",ScholarlyKnowledgeGraph,scholarly knowledge graph,SKG,knowledge graph,,"Focused on bibliographic/publication-centric entities and relations: publications, authors, institutions, venues, citations, affiliations.  In much of the literature this term is used interchangeably with ""Scientific Knowledge Graph"" ",,,
second iteration,,,second version of the ​MVE including functionalities and ​services dedicated to the requirements of government ​stakeholders​.,EOSC Glossary September 2020,"Jones, B., Devereux, C., & Mustajoki, H. (2019). ​Solutions for a Sustainable EOSC. A tinman report from the EOSC Sustainability Working Group​ (p. 19). EOSC Executive Board. Sustainability Working Group. https://www.eoscsecretariat.eu/system/files/solutions_for_a_sustainable_eosc_-_tinman_draft_ 02dec19.pdf​, modified –– added second version of the MVE including; reference to government stakeholders instead of end-users from the public sector.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,FdJ: outdated,,SecondIteration,second iteration,,Minimum Viable EOSC,second version of the ​MVE including functionalities and ​services dedicated to the requirements of government ​stakeholders​.,,,,
Secretariat,,,"body of the ​governance structure​ that advises and supports the ​General Assembly​ and the Board​, coordinates the implementation of their decisions, conducts day-to-day management and administers the finances of the ​EOSC Association​.",EOSC Glossary September 2020;  ,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​, modified –– reference to body of the governance structure.",2020-09-01,,,Joaquin Lopez Lorenz Makula IMS Franciska de Jong MN,reject,,"FdJ: term cen be rejected, as we have EOSC Secretariat in.
",Secretariat,Secretariat,,governance structure,"body of the ​governance structure​ that advises and supports the ​General Assembly​ and the Board​, coordinates the implementation of their decisions, conducts day-to-day management and administers the finances of the ​EOSC Association​.",,,,
Security for Collaboration among Infrastructure,SCI,, A collaborative activity of security representatives from large-scale distributed academic computing infrastructures managing cross-infrastructure operational security risks and building trust and developing policy standards,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,,Sci,Security for Collaboration among Infrastructure,,,Security for Collaboration among Infrastructure. A collaborative activity of security representatives from large-scale distributed academic computing infrastructures managing cross-infrastructure operational security risks and building trust and developing policy standards,,,,
Security Incident Response Trust framework for Federated Identity,SIRTFI,,REFEDS working group which enables the coordination of incident response across federated organisations.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,,SecurityIncidentResponseTrustFrameworkForFederatedIdentity,Security Incident Response Trust framework for Federated Identity,,,REFEDS working group which enables the coordination of incident response across federated organisations.,,,,
service,,,means of delivering value for the ​end-user by facilitating outcomes the end-user wants to achieve.,EOSC Glossary September 2020,"ISO/IEC 20000-10:2018, modified –– reference to end-user instead of user; Note 2 to entry has been removed.",2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez,reject,,FdJ see comments in other columns; instead the definition for duplicate Service is to be selected,Service,service,,component,means of delivering value for the ​end-user by facilitating outcomes the end-user wants to achieve.,Note 1 to entry: Service is generally intangible.,,unknown:Service,
service provider,,,provider​ that manages and delivers a ​service​ or services to ​end-users​.,EOSC Glossary September 2020,"FITSM. (2016). Part 0: Overview and vocabulary (2.4). https://www.fitsm.eu/download/280/​, modified –– reference to provider instead of organisation or part of an organisation;​ ​reference to end-users instead of customers; the federation references have been removed.",2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,Fdj: covered by defeinition of EOSC resource provider,ServiceProvider,service provider,,provider,provider​ that manages and delivers a ​service​ or services to ​end-users​.,,,,
service providing organisation,SPO,,organisation​ or part of an organisation that manages and delivers a ​service​ or services to end-users​.,EOSC Glossary September 2020,"FITSM. (2016). Part 0: Overview and vocabulary (2.4). https://www.fitsm.eu/download/280/​, modified –– reference to end-users instead of customers; the federation references have been removed.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,Not specific to EOSC/OSCARS.,ServiceProvidingOrganisation,service providing organisation,,organisation,organisation​ or part of an organisation that manages and delivers a ​service​ or services to end-users​.,,,,
Software Quality Assurance,SQA,,A process which works in parallel with software development to ensure that the software meets the required quality.,EOSCFuture project glossary,,2024-03-29,MN,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,can be rediscussed after first release,"FdJ: not specific for EOSC/OSCARS' self-explanatory
Not specific to EOSC/OSCARS.",SoftwareQualityAssurance,Software Quality Assurance,,,A process which works in parallel with software development to ensure that the software meets the required quality.,,,,
SQA as a Service,SQAaaS,,The provision of services which provide SQA.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",SqaAsAService,SQA as a Service,,,The provision of services which provide SQA.,,,,
stakeholder,,,"actor​ that can affect, be affected by, or perceive itself to be affected by a decision or activity.",EOSC Glossary September 2020,"ISO 9000:2015, modified –– Note 1 to entry has been removed; reference to actor instead of person or organisation.",2020-09-01,MN,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Stakeholder,stakeholder,,actor,"actor​ that can affect, be affected by, or perceive itself to be affected by a decision or activity.","EXAMPLE Customers, owners, people in an organisation, providers, bankers, regulators, unions, partners or society that can include competitors or opposing pressure groups.",,,
subject-based repository,,,disciplinary repository​ aimed at a specific subject.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,FdJ; not used,MN: feels again identical to disciplinary repository and domain repository,SubjectBasedRepository,subject-based repository,,disciplinary repository,disciplinary repository​ aimed at a specific subject.,,,,
system,,,set of ​components​ that are interrelated in order to obtain an ​emergent behaviour​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",System,system,,,set of ​components​ that are interrelated in order to obtain an ​emergent behaviour​.,,,,
system of systems,,,"system developed by combining existing systems thus to guarantee (a) Operational independence (if the system-of-systems is disassembled into its component systems, the component systems must be able to usefully operate independently); (b) Managerial independence (the component systems are separately acquired and integrated but maintain a continuing operational existence independent of the system-of-systems); (c) Evolutionary development (the system-of-systems does not appear fully formed. Its development and existence is evolutionary with functions and purposes added, removed, and modified with experience); (e) ​Emergent behavior (the system performs functions and carries out purposes that do not reside in any component system. These behaviors are emergent properties of the entire system-of-systems and cannot be localized to any component system. The principal purposes of the systems-of-systems are fulfilled by these behaviors); (v) Geographic distribution (the geographic extent of the component systems is large. Large is a nebulous and relative concept as communication capabilities increase, but at a minimum it means that the components can readily exchange only information and not substantial quantities of mass or energy).",EOSC Glossary September 2020,"Maier, M. W. (1996) ​Architecting Principles for Systems-of-Systems INCOSE International Symposium, Vol. 6, Issue 1, doi: ​10.1002/j.2334-5837.1996.tb02054.x​.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,Not specific to EOSC/OSCARS.,SystemOfSystems,system of systems,,system,"system developed by combining existing systems thus to guarantee (a) Operational independence (if the system-of-systems is disassembled into its component systems, the component systems must be able to usefully operate independently); (b) Managerial independence (the component systems are separately acquired and integrated but maintain a continuing operational existence independent of the system-of-systems); (c) Evolutionary development (the system-of-systems does not appear fully formed. Its development and existence is evolutionary with functions and purposes added, removed, and modified with experience); (e) ​Emergent behavior (the system performs functions and carries out purposes that do not reside in any component system. These behaviors are emergent properties of the entire system-of-systems and cannot be localized to any component system. The principal purposes of the systems-of-systems are fulfilled by these behaviors); (v) Geographic distribution (the geographic extent of the component systems is large. Large is a nebulous and relative concept as communication capabilities increase, but at a minimum it means that the components can readily exchange only information and not substantial quantities of mass or energy).",,,,
Task Force,,,A group of people brought together to work on a specific project or problem.,EOSCFuture project glossary,https://eosc.eu/wp-content/uploads/2023/08/EOSCPartnershipMF_Glossary.pdf,2024-03-29,MN ,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
duplicate with EOSC prefix has been propsoed for selection",TaskForces,Task Forces,,,A group of people brought together to work on a specific project or problem.,,,,
Technical Coordination Board,TCB,,"Technical Coordination Board of the EOSC-Future project. Entity which oversees the technical direction of the project, represents technical stakeholders and ensures technical alignment with other initiatives.",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,FdJ: Too generic without EOSC qualifier. Valid for a specifc project from the past mainly,TechnicalCoordinationBoard,Technical Coordination Board,,,"Technical Coordination Board of the EOSC-Future project. Entity which oversees the technical direction of the project, represents technical stakeholders and ensures technical alignment with other initiatives.",,,,
Technology Readiness Level,TRL,,An indication of the maturity of a service. ,EOSCFuture project glossary,,2024-03-29,Joaquin Lopez Lorenz Makula,,,reject,,"Fdj: definition in need of revision; for now a duplicate of the term has been selected with wikipedia definition
",TechnologyReadinessLevel,Technology Readiness Level,TRL,,"An indication of the maturity of a service. Within EOSC-Future the three most relevant levels are: TRL 7 (Beta). EC definition: ""System prototype demonstration in operational environment"". EOSC-Future assessment criteria: · Resource has passed through the development and is an advanced stage of pre-production: the software is stable, reliable and has been deployed in an operational environment · Functionality as required by the target users is documented, understood, validated with target sample users and accepted by them. Internal documentation exists regarding preliminary validation tests. · An assessment has been made of the required load of the system once the transition into production is complete and a plan has been made to serve this load. This assessment has been documented. · An SLA is optional. TRL8 (Production). EC definition: ""System complete and qualified"". EOSC-Future assessment criteria: · There are users who are making real use of the resource and rely on it for their work. · Resource documentation for end-users exists and is made available. · An Acceptable Use Policy/Terms of Use/SLA/SLS is in place · Evidence that the Resource is being delivered in a way consistent with user expectations · Provision is made for user support, with response to incident and problem management TRL9 (Production). EC definition: ""Actual system proven in operational environment"". EOSC-Future assessment criteria: · All requirements of TRL 8 are met. · Customer feedback is gathered and documented. The Resource has been in a production state and relied upon by users for at least 1 year and evidence is provided to show this. · There are quantitative outputs as a direct result of resource usage. Further details can be found at https://eosc-portal.eu/providers-documentation/eosc-provider-portal-resource-maturity-classification See also ec.europa.eu/research/participants/data/ref/h2020/other/wp/2016-2017/annexes/h2020-wp1617-annex-ga_en.pdf page 29","Within EOSC-Future the three most relevant levels are: TRL 7 (Beta). EC definition: ""System prototype demonstration in operational environment"". EOSC-Future assessment criteria: · Resource has passed through the development and is an advanced stage of pre-production: the software is stable, reliable and has been deployed in an operational environment · Functionality as required by the target users is documented, understood, validated with target sample users and accepted by them. Internal documentation exists regarding preliminary validation tests. · An assessment has been made of the required load of the system once the transition into production is complete and a plan has been made to serve this load. This assessment has been documented. · An SLA is optional. TRL8 (Production). EC definition: ""System complete and qualified"". EOSC-Future assessment criteria: · There are users who are making real use of the resource and rely on it for their work. · Resource documentation for end-users exists and is made available. · An Acceptable Use Policy/Terms of Use/SLA/SLS is in place · Evidence that the Resource is being delivered in a way consistent with user expectations · Provision is made for user support, with response to incident and problem management TRL9 (Production). EC definition: ""Actual system proven in operational environment"". EOSC-Future assessment criteria: · All requirements of TRL 8 are met. · Customer feedback is gathered and documented. The Resource has been in a production state and relied upon by users for at least 1 year and evidence is provided to show this. · There are quantitative outputs as a direct result of resource usage. Further details can be found at https://eosc-portal.eu/providers-documentation/eosc-provider-portal-resource-maturity-classification See also ec.europa.eu/research/participants/data/ref/h2020/other/wp/2016-2017/annexes/h2020-wp1617-annex-ga_en.pdf page 29",,,
third iteration,,,third version of the ​MVE including functionalities and ​services dedicated to the requirements of industry and media-based and culture-based public ​stakeholders​.,EOSC Glossary September 2020,"Jones, B., Devereux, C., & Mustajoki, H. (2019). ​Solutions for a Sustainable EOSC. A tinman report from the EOSC Sustainability Working Group​ (p. 19). EOSC Executive Board. Sustainability Working Group. https://www.eoscsecretariat.eu/system/files/solutions_for_a_sustainable_eosc_-_tinman_draft_ 02dec19.pdf​, modified –– added third version of the MVE including; reference to media-based and culture-based public stakeholders instead of end-users from the private sector.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,FdJ: outdated,,ThirdIteration,third iteration,,Minimum Viable EOSC,third version of the ​MVE including functionalities and ​services dedicated to the requirements of industry and media-based and culture-based public ​stakeholders​.,,,,
user,,,actor​ that interacts with the ​EOSC​ or benefits from the EOSC during its utilization.,EOSC Glossary September 2020,"ISO/IEC/IEEE 15288:2015, modified –– reference to actor instead of individual or group; reference to EOSC; Note 1 to entry has been removed.",2020-09-01,,,Lorenz Makula Franciska de Jong Joaquin Lopez Alberto Iess MN,reject,,MN:   this term can be missed as we have EOSC user in the list,User,user,,actor,actor​ that interacts with the ​EOSC​ or benefits from the EOSC during its utilization.,,,,
Wise Information Security for E-infrastructures,WISE,,Community which enhances best practice in information security for IT infrastructures for research.,EOSCFuture project glossary,,2024-03-29,,,Lorenz Makula Franciska de Jong Joaquin Lopez MN,reject,,,WiseInformationSecurityForEInfrastructures,Wise Information Security for E-infrastructures,,,Community which enhances best practice in information security for IT infrastructures for research.,,,,
work package,WP,,Work package,EOSCFuture project glossary,,2024-03-29,MN,,Franciska de Jong Joaquin Lopez Alberto IessLorenz Makula,reject,,Not specific to EOSC/OSCARS.,WorkPackage,work package,WP,,Work package,,,,
,,,,,,,,,,NOTE,,,,,,,,,,,
,,,,,,,,,,NOTE,,,,,,,,,,,
